ID,ReactionTime,Gender,Coffee4hrs,CorrVision,TimeVideo,Sleep
826,271,M,Y,N,45,6.5
247,275,M,Y,Y,0,7.5
4677,338,nb,N,N,150,10
5849,306,M,Y,Y,60,6.5
5465,373,F,N,Y,0,8.5
2976,288,F,N,Y,0,9
1099,289,M,N,N,120,6
6335,263,F,N,N,240,8.5
2066,336,M,Y,Y,300,8.5
3262,314,M,N,N,120,7.5
2454,335,F,Y ,N ,0,7
4032,468,F,N,N ,300,5
2078,278,M,Y,Y,0,8
8470,313,M,N,Y,100,7
203,463,F,Y,N,30,7
1667,317,F,N,N,470,8
3302,245,M,N,N,200,6.25
9097,409,F,N,Y,20,5
8315,311,M,N,Y,60,5
7204,427,F,N,N,0,5.5
1157,285,M,Y,Y,60,9
