Tag_ID,Species,Block,Treatment
ANGE_1,Andropogon gerardii,1,None
ANGE_7,Andropogon gerardii,1,None
ANGE_13,Andropogon gerardii,1,None
ANGE_19,Andropogon gerardii,1,None
ANGE_25,Andropogon gerardii,1,None
ANGE_31,Andropogon gerardii,1,None
ANGE_37,Andropogon gerardii,1,None
ANGE_43,Andropogon gerardii,1,None
BOGR_49,Bouteloua gracilis,1,None
BOGR_55,Bouteloua gracilis,1,None
BOGR_61,Bouteloua gracilis,1,None
BOGR_67,Bouteloua gracilis,1,None
BOGR_73,Bouteloua gracilis,1,None
BOGR_79,Bouteloua gracilis,1,None
BOGR_85,Bouteloua gracilis,1,None
BOGR_91,Bouteloua gracilis,1,None
BUDA_97,Buchloe dactyloides,1,None
BUDA_103,Buchloe dactyloides,1,None
BUDA_109,Buchloe dactyloides,1,None
BUDA_115,Buchloe dactyloides,1,None
BUDA_121,Buchloe dactyloides,1,None
BUDA_127,Buchloe dactyloides,1,None
BUDA_133,Buchloe dactyloides,1,None
BUDA_139,Buchloe dactyloides,1,None
ANGE_2,Andropogon gerardii,2,Dry
ANGE_8,Andropogon gerardii,2,Dry
ANGE_14,Andropogon gerardii,2,Dry
ANGE_20,Andropogon gerardii,2,Dry
ANGE_26,Andropogon gerardii,2,Dry
ANGE_32,Andropogon gerardii,2,Dry
ANGE_38,Andropogon gerardii,2,Dry
ANGE_44,Andropogon gerardii,2,Dry
BOGR_50,Bouteloua gracilis,2,Dry
BOGR_56,Bouteloua gracilis,2,Dry
BOGR_62,Bouteloua gracilis,2,Dry
BOGR_68,Bouteloua gracilis,2,Dry
BOGR_74,Bouteloua gracilis,2,Dry
BOGR_80,Bouteloua gracilis,2,Dry
BOGR_86,Bouteloua gracilis,2,Dry
BOGR_92,Bouteloua gracilis,2,Dry
BUDA_98,Buchloe dactyloides,2,Dry
BUDA_104,Buchloe dactyloides,2,Dry
BUDA_110,Buchloe dactyloides,2,Dry
BUDA_116,Buchloe dactyloides,2,Dry
BUDA_122,Buchloe dactyloides,2,Dry
BUDA_128,Buchloe dactyloides,2,Dry
BUDA_134,Buchloe dactyloides,2,Dry
BUDA_140,Buchloe dactyloides,2,Dry
ANGE_3,Andropogon gerardii,3,Wet
ANGE_9,Andropogon gerardii,3,Wet
ANGE_15,Andropogon gerardii,3,Wet
ANGE_21,Andropogon gerardii,3,Wet
ANGE_27,Andropogon gerardii,3,Wet
ANGE_33,Andropogon gerardii,3,Wet
ANGE_39,Andropogon gerardii,3,Wet
ANGE_45,Andropogon gerardii,3,Wet
BOGR_51,Bouteloua gracilis,3,Wet
BOGR_57,Bouteloua gracilis,3,Wet
BOGR_63,Bouteloua gracilis,3,Wet
BOGR_69,Bouteloua gracilis,3,Wet
BOGR_75,Bouteloua gracilis,3,Wet
BOGR_81,Bouteloua gracilis,3,Wet
BOGR_87,Bouteloua gracilis,3,Wet
BOGR_93,Bouteloua gracilis,3,Wet
BUDA_99,Buchloe dactyloides,3,Wet
BUDA_105,Buchloe dactyloides,3,Wet
BUDA_111,Buchloe dactyloides,3,Wet
BUDA_117,Buchloe dactyloides,3,Wet
BUDA_123,Buchloe dactyloides,3,Wet
BUDA_129,Buchloe dactyloides,3,Wet
BUDA_135,Buchloe dactyloides,3,Wet
BUDA_141,Buchloe dactyloides,3,Wet
ANGE_4,Andropogon gerardii,4,None
ANGE_10,Andropogon gerardii,4,None
ANGE_16,Andropogon gerardii,4,None
ANGE_22,Andropogon gerardii,4,None
ANGE_28,Andropogon gerardii,4,None
ANGE_34,Andropogon gerardii,4,None
ANGE_40,Andropogon gerardii,4,None
ANGE_46,Andropogon gerardii,4,None
BOGR_52,Bouteloua gracilis,4,None
BOGR_58,Bouteloua gracilis,4,None
BOGR_64,Bouteloua gracilis,4,None
BOGR_70,Bouteloua gracilis,4,None
BOGR_76,Bouteloua gracilis,4,None
BOGR_82,Bouteloua gracilis,4,None
BOGR_88,Bouteloua gracilis,4,None
BOGR_94,Bouteloua gracilis,4,None
BUDA_100,Buchloe dactyloides,4,None
BUDA_106,Buchloe dactyloides,4,None
BUDA_112,Buchloe dactyloides,4,None
BUDA_118,Buchloe dactyloides,4,None
BUDA_124,Buchloe dactyloides,4,None
BUDA_130,Buchloe dactyloides,4,None
BUDA_136,Buchloe dactyloides,4,None
BUDA_142,Buchloe dactyloides,4,None
ANGE_5,Andropogon gerardii,5,Dry
ANGE_11,Andropogon gerardii,5,Dry
ANGE_17,Andropogon gerardii,5,Dry
ANGE_23,Andropogon gerardii,5,Dry
ANGE_29,Andropogon gerardii,5,Dry
ANGE_35,Andropogon gerardii,5,Dry
ANGE_41,Andropogon gerardii,5,Dry
ANGE_47,Andropogon gerardii,5,Dry
BOGR_53,Bouteloua gracilis,5,Dry
BOGR_59,Bouteloua gracilis,5,Dry
BOGR_65,Bouteloua gracilis,5,Dry
BOGR_71,Bouteloua gracilis,5,Dry
BOGR_77,Bouteloua gracilis,5,Dry
BOGR_83,Bouteloua gracilis,5,Dry
BOGR_89,Bouteloua gracilis,5,Dry
BOGR_95,Bouteloua gracilis,5,Dry
BUDA_101,Buchloe dactyloides,5,Dry
BUDA_107,Buchloe dactyloides,5,Dry
BUDA_113,Buchloe dactyloides,5,Dry
BUDA_119,Buchloe dactyloides,5,Dry
BUDA_125,Buchloe dactyloides,5,Dry
BUDA_131,Buchloe dactyloides,5,Dry
BUDA_137,Buchloe dactyloides,5,Dry
BUDA_143,Buchloe dactyloides,5,Dry
ANGE_6,Andropogon gerardii,6,Wet
ANGE_12,Andropogon gerardii,6,Wet
ANGE_18,Andropogon gerardii,6,Wet
ANGE_24,Andropogon gerardii,6,Wet
ANGE_30,Andropogon gerardii,6,Wet
ANGE_36,Andropogon gerardii,6,Wet
ANGE_42,Andropogon gerardii,6,Wet
ANGE_48,Andropogon gerardii,6,Wet
BOGR_54,Bouteloua gracilis,6,Wet
BOGR_60,Bouteloua gracilis,6,Wet
BOGR_66,Bouteloua gracilis,6,Wet
BOGR_72,Bouteloua gracilis,6,Wet
BOGR_78,Bouteloua gracilis,6,Wet
BOGR_84,Bouteloua gracilis,6,Wet
BOGR_90,Bouteloua gracilis,6,Wet
BOGR_96,Bouteloua gracilis,6,Wet
BUDA_102,Buchloe dactyloides,6,Wet
BUDA_108,Buchloe dactyloides,6,Wet
BUDA_114,Buchloe dactyloides,6,Wet
BUDA_120,Buchloe dactyloides,6,Wet
BUDA_126,Buchloe dactyloides,6,Wet
BUDA_132,Buchloe dactyloides,6,Wet
BUDA_138,Buchloe dactyloides,6,Wet
BUDA_144,Buchloe dactyloides,6,Wet
